,z_score_daily
2021-02-01,-0.798
2021-02-02,-0.708
2021-02-03,-0.691
2021-02-04,-0.688
2021-02-05,-0.636
2021-02-06,-0.662
2021-02-07,-0.757
2021-02-08,-0.801
2021-02-09,-0.733
2021-02-10,-0.719
2021-02-11,-0.687
2021-02-12,-0.727
2021-02-13,-0.673
2021-02-14,-0.736
2021-02-15,-0.789
2021-02-16,-0.708
2021-02-17,-0.718
2021-02-18,-0.676
2021-02-19,-0.64
2021-02-20,-0.692
2021-02-21,-0.663
2021-02-22,-0.78
2021-02-23,-0.76
2021-02-24,-0.717
2021-02-25,-0.694
2021-02-26,-0.637
2021-02-27,-0.652
2021-02-28,-0.724
2021-03-01,-0.749
2021-03-02,-0.767
2021-03-03,-0.717
2021-03-04,-0.701
2021-03-05,-0.645
2021-03-06,-0.692
2021-03-07,-0.754
2021-03-08,-0.751
2021-03-09,-0.744
2021-03-10,-0.719
2021-03-11,-0.715
2021-03-12,-0.64
2021-03-13,-0.652
2021-03-14,-0.738
2021-03-15,-0.795
2021-03-16,-0.759
2021-03-17,-0.697
2021-03-18,-0.689
2021-03-19,-0.64
2021-03-20,-0.651
2021-03-21,-0.724
2021-03-22,-0.75
2021-03-23,-0.736
2021-03-24,-0.679
2021-03-25,-0.69
2021-03-26,-0.654
2021-03-27,-0.672
2021-03-28,-0.677
2021-03-29,-0.749
2021-03-30,-0.76
2021-03-31,-0.678
2021-04-01,-0.633
2021-04-02,-0.639
2021-04-03,-0.646
2021-04-04,-0.767
2021-04-05,-0.703
2021-04-06,-0.691
2021-04-07,-0.718
2021-04-08,-0.682
2021-04-09,-0.638
2021-04-10,-0.652
2021-04-11,-0.736
2021-04-12,-0.795
2021-04-13,-0.737
2021-04-14,-0.696
2021-04-15,-0.702
2021-04-16,-0.643
2021-04-17,-0.652
2021-04-18,-0.663
2021-04-19,-0.798
2021-04-20,-0.691
2021-04-21,-0.715
2021-04-22,-0.711
2021-04-23,-0.636
2021-04-24,-0.646
2021-04-25,-0.724
2021-04-26,-0.75
2021-04-27,-0.709
2021-04-28,-0.716
2021-04-29,-0.711
2021-04-30,-0.641
2021-05-01,-0.673
2021-05-02,-0.756
2021-05-03,-0.749
2021-05-04,-0.709
2021-05-05,-0.69
2021-05-06,-0.689
2021-05-07,-0.64
2021-05-08,-0.673
2021-05-09,-0.757
2021-05-10,-0.702
2021-05-11,-0.737
2021-05-12,-0.715
2021-05-13,-0.715
2021-05-14,-0.681
2021-05-15,-0.661
2021-05-16,-0.737
2021-05-17,-0.752
2021-05-18,-0.732
2021-05-19,-0.722
2021-05-20,-0.675
2021-05-21,-0.636
2021-05-22,-0.693
2021-05-23,-0.677
2021-05-24,-0.781
2021-05-25,-0.759
2021-05-26,-0.715
2021-05-27,-0.701
2021-05-28,-0.641
2021-05-29,-0.673
2021-05-30,-0.723
2021-05-31,-0.806
2021-06-01,-0.736
2021-06-02,-0.677
2021-06-03,-0.695
2021-06-04,-0.645
2021-06-05,-0.687
2021-06-06,-0.735
2021-06-07,-0.789
2021-06-08,-0.734
2021-06-09,-0.72
2021-06-10,-0.705
2021-06-11,-0.638
2021-06-12,-0.672
